Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,Is_Microsoft_Title,Is_Microsoft_Owned,Blizzard Title,Is_Exisiting_Microsoft_Content
Just Chatting,1.8758E+11,2084453220,2309980,10463,2799404,356888,3965,89.99,FALSE,Other,All Others,No
League of Legends,88507578420,1582308360,3145012,7219,1031639,168393,3010,55.94,FALSE,Other,All Others,No
Grand Theft Auto V,79709936040,1420212060,727079,6992,1519957,151655,2702,56.13,FLASE,Other,All Others,No
VALORANT,69706507140,2580773820,1197406,13550,1801465,132622,4910,27.01,FALSE,Other,All Others,No
Counter-Strike: Global Offensive,41200514340,577625160,1687805,2348,717646,78387,1098,71.33,FALSE,Other,All Others,No
Apex Legends,36307748520,2235311760,559133,11461,1802432,69078,4252,16.24,FALSE,Other,All Others,No
Minecraft,34815977160,1153558500,1702513,6347,2247356,66240,2194,30.18,TRUE,Microsoft Owned,Currently Microsoft Owned,Yes
Fortnite,34086017460,2579595480,1024567,60854,3840714,64851,4907,13.21,FALSE,Other,All Others,No
Dota 2,32356435500,439769640,1037857,1998,232460,61560,836,73.58,FALSE,Other,All Others,No
World of Warcraft,25583480340,660954720,800359,12297,253701,48674,1257,38.71,TRUE,Microsoft Owned,Blizzard / Activition,No
Call of Duty: Warzone,25272802500,1366556880,618010,12842,1056393,48083,2599,18.49,TRUE,Microsoft Owned,Blizzard / Activition,No
Slots,20616583260,66955500,284606,429,40312,39224,127,307.91,FALSE,Other,All Others,No
Escape from Tarkov,19748571360,470392980,563955,5313,194846,37573,894,41.98,FALSE,Other,All Others,No
Overwatch 2,17238778140,657208800,633993,12678,1022873,32798,1250,26.23,TRUE,Microsoft Owned,Blizzard / Activition,No
Dead by Daylight,14705270280,882473820,150040,4960,611253,27978,1678,16.66,FALSE,Other,All Others,No
Teamfight Tactics,14082782640,175488600,140778,1461,206408,26793,333,80.25,FALSE,Other,All Others,No
ELDEN RING,13345957020,679020960,470705,13479,778400,25391,1291,19.65,FALSE,Other,All Others,No
Music,13185654600,547258260,148147,2185,353026,25086,1041,24.09,FALSE,Other,All Others,No
Rust,13184816820,199370880,391822,1218,206926,25085,379,66.13,FALSE,Other,All Others,No
Sports,13027052700,70366980,1424678,908,158386,24785,133,185.13,FALSE,Other,All Others,No
FIFA 23,12445029000,259778160,487770,5980,515247,23677,494,47.91,FALSE,Other,All Others,No
Lost Ark,11853787740,278800860,182691,2429,134536,22552,530,42.52,FALSE,Other,All Others,No
Hearthstone,11346871440,85080660,137028,687,74109,21588,161,133.37,TRUE,Microsoft Owned,Blizzard / Activition,No
Special Events,9317951760,36049020,3366021,8741,112725,17728,68,258.48,FALSE,Other,All Others,No
Call of Duty: Modern Warfare II,8860856700,1031669820,759147,22803,1421085,16858,1962,8.59,TRUE,Microsoft Owned,Blizzard / Activition,No
Virtual Casino,8437132680,33676200,90873,227,20939,16052,64,250.54,FALSE,Other,All Others,No
Genshin Impact,8370013800,580278900,540080,6499,493027,15924,1104,14.42,FALSE,Other,All Others,No
FIFA 22,8302597920,262718820,398057,3266,650582,15796,499,31.6,FALSE,Other,All Others,No
Fall Guys,7795051680,275772600,417781,6833,1054973,14830,524,28.27,FALSE,Other,All Others,No
ASMR,7528485060,103835460,85961,433,95243,14323,197,72.5,FALSE,Other,All Others,No
Rocket League,7400230620,464031660,348465,2322,992475,14079,882,15.95,FALSE,Other,All Others,No
PUBG: BATTLEGROUNDS,6751215480,359052540,169794,1390,315343,12844,683,18.8,TRUE,Microsoft Owned,Currently Microsoft Owned,Yes
Tom Clancy's Rainbow Six Siege,6166364760,379602780,216741,2013,697085,11732,722,16.24,TRUE,Microsoft Owned,Currently Microsoft Owned,Yes
Art,6028179240,358480200,56418,2021,306895,11469,682,16.82,FALSE,Other,All Others,No
Path of Exile,5522255460,91967640,257112,2927,44754,10506,174,60.05,FALSE,Other,All Others,No
Destiny 2,5467355940,417993540,451907,19199,351966,10402,795,13.08,FALSE,Other,All Others,No
World of Tanks,5316705780,94858320,68851,455,70902,10115,180,56.05,FALSE,Other,All Others,No
Hogwarts Legacy,4633232100,224853540,1249796,29306,388817,8815,427,20.61,FALSE,Other,All Others,No
DayZ,4482223560,145250640,109745,636,152031,8527,276,30.86,FALSE,Other,All Others,No
FINAL FANTASY XIV ONLINE,4420384680,286297920,94670,3434,117790,8410,544,15.44,FALSE,Other,All Others,No
Chess,4216660920,33060960,113009,199,59597,8022,62,127.54,FALSE,Other,All Others,No
Overwatch,4057929480,190350240,1459249,2725,264941,7720,362,21.32,TRUE,Microsoft Owned,Blizzard / Activition,No
I'm Only Sleeping,4008604140,79304880,95331,375,46917,7626,150,50.55,FALSE,Other,All Others,No
"Pools, Hot Tubs, and Beaches",3914936820,37473600,134319,238,47340,7448,71,104.47,FALSE,Other,All Others,No
Old School RuneScape,3822004560,77826540,64684,594,39007,7271,148,49.11,TRUE,Microsoft Owned,Currently Microsoft Owned,Yes
Pokémon Scarlet/Violet,3779958060,128916840,315303,10530,111637,7191,245,29.32,FALSE,Other,All Others,No
Talk Shows & Podcasts,3735809100,120217080,142296,653,110757,7107,228,31.08,FALSE,Other,All Others,No
Poker,3580812120,47426340,71390,277,25955,6812,90,75.5,FALSE,Other,All Others,No
Sea of Thieves,3549577680,175707180,131802,1278,265332,6753,334,20.2,TRUE,Microsoft Owned,Currently Microsoft Owned,Yes
Retro,3297398580,114354780,60657,668,50991,6273,217,28.83,FALSE,Other,All Others,No