,Genre,Movies,Total Box Office,Tickets,Share
1,Adventure,1154,65881158656,9365637164,0.27
2,Action,1171,54493910858,7473809030,0.22
3,Drama,5677,36195186551,5480476836,0.15
4,Comedy,2483,34276052688,5211590413,0.14
5,Thriller/Suspense,1272,20320224077,2948486036,0.08
6,Horror,782,14221580611,2014279632,0.06
7,Romantic Comedy,659,10886921785,1745952540,0.04
8,Musical,209,4383652905,578325029,0.02
9,Documentary,2520,2576707617,383386144,0.01
10,Black Comedy,235,2417659611,354455981,0.01
11,Western,95,1292636021,187668543,0.01
12,Concert/Performance,86,421702053,56793532,0.00
13,Multiple Genres,48,66233798,8497796,0.00
14,Reality,5,58365147,6370806,0.00
15,Educational,1,260,28,0.00